topic,script,source_path,description,run_command,has_docstring
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/cc_burn_billing_rule.py,cc_burn_billing_rule.py,"THE BURN-BILLING RULE, derived in the billing note's formalism — and the conversion verdict: the tangle density DROPS OUT (which explains the pattern theorem).",PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/cc_burn_billing_rule.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/cc_burn_rule_finish.py,cc_burn_rule_finish.py,THE BURN-RULE FINISH: the readout-billability paragraph (operator algebra) + the unit-convention audit of rho = alpha0 Lambda^4 r6 — the daily formula.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/cc_burn_rule_finish.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/cc_clause24_proof.py,cc_clause24_proof.py,"THE CC'S FINAL TIER GATE — clauses 2 (virtual-leg billing) and 4 (the half), proven at the model level on the actual chirality-Weyl kernel.",PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/cc_clause24_proof.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/cc_clause_iii_generation_vertex_audit.py,cc_clause_iii_generation_vertex_audit.py,CC CLAUSE III: can the 0.222% stationary gamma correction be derived?,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/cc_clause_iii_generation_vertex_audit.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/cc_fixed_connected_object_audit.py,cc_fixed_connected_object_audit.py,Audit the fixed-connected-object routes for the remaining CC residual.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/cc_fixed_connected_object_audit.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/cc_gate_register_ledger_scan.py,cc_gate_register_ledger_scan.py,THE CC GATE — structure-first scan of canon-citable register-handoff ledgers against p* = p_req +- 0.0006 (the user's gate; anything outside is falsified).,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/cc_gate_register_ledger_scan.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/cc_generation_vertex_next_order_audit.py,cc_generation_vertex_next_order_audit.py,Next-order audit for the CC generation-vertex residual.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/cc_generation_vertex_next_order_audit.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/cc_generation_vertex_renormalization_no_go.py,cc_generation_vertex_renormalization_no_go.py,No-go theorem for deriving the CC residual inside the current vertex class.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/cc_generation_vertex_renormalization_no_go.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/cc_next_order_residual_audit.py,cc_next_order_residual_audit.py,Post-final-tier audit of the remaining CC generation-vertex residual.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/cc_next_order_residual_audit.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/cc_residual_noise_floor.py,cc_residual_noise_floor.py,THE CC RESIDUAL'S OBSERVATIONAL NOISE FLOOR — the missing computation that re-poses (and closes) the next-order hunt.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/cc_residual_noise_floor.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/cc_stationary_correction_scan.py,cc_stationary_correction_scan.py,"THE 0.222% QUESTION — is the stationary branch's gamma-correction a specific, producible/falsifiable object of the register thermodynamics?",PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/cc_stationary_correction_scan.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/cmb_camb_tt_comparison.py,cmb_camb_tt_comparison.py,CMB COMPLETION — real CAMB TT-spectrum test of the framework's DERIVED cosmology (M15 gate b).,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/cmb_camb_tt_comparison.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/cmb_dark_reservoir_status.py,cmb_dark_reservoir_status.py,CMB DARK-RESERVOIR — completion status + end-to-end arithmetic verification (M15 / item 123).,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/cmb_dark_reservoir_status.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/correlated_nulls_ledger.py,correlated_nulls_ledger.py,Correlated-null falsification ledger.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/correlated_nulls_ledger.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/cosmological_selector_lock_theorem.py,cosmological_selector_lock_theorem.py,Cosmological selector / lock theorem audit.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/cosmological_selector_lock_theorem.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/cosmology_reinstatement_audit.py,cosmology_reinstatement_audit.py,COSMOLOGY REINSTATEMENT AUDIT — five retracted/demoted claims tested against the 2026-06-10 results: is each reinstatable at the proposed CONDITIONAL tier (or not)?,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/cosmology_reinstatement_audit.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/dS_hbc_bw.py,dS_hbc_bw.py,"dS_hbc_bw.py -- Phase 2, rigorous route: the Bisognano-Wichmann / CHM modular-weight profile.",PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/dS_hbc_bw.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/dS_hbc_bw_fullT00.py,dS_hbc_bw_fullT00.py,"dS_hbc_bw_fullT00.py -- Phase 2, BW/CHM with the FULL local T00 modular weight.",PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/dS_hbc_bw_fullT00.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/dS_hbc_phase01.py,dS_hbc_phase01.py,"dS_hbc_phase01.py -- HBC dynamics spec, Phases 0+1 (free Gaussian scalar).",PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/dS_hbc_phase01.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/dS_hbc_phase2.py,dS_hbc_phase2.py,"dS_hbc_phase2.py -- HBC dynamics spec, Phase 2: de Sitter thermality (Gibbons-Hawking T ~ 1/R_H).",PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/dS_hbc_phase2.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/ew_two_saturation_anchors.py,ew_two_saturation_anchors.py,"SECOND ANCHOR: why exactly two, why irreducible -- the saturating-coupling count.",PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/ew_two_saturation_anchors.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/foundations_hbc_clock_backbone.py,foundations_hbc_clock_backbone.py,foundations_hbc_clock_backbone.py,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/foundations_hbc_clock_backbone.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/foundations_rhbc_scalar_clock_uniqueness.py,foundations_rhbc_scalar_clock_uniqueness.py,foundations_rhbc_scalar_clock_uniqueness.py,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/foundations_rhbc_scalar_clock_uniqueness.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/gamma_mon_halfwidth_refutation.py,gamma_mon_halfwidth_refutation.py,Test the proposed half-linewidth rule for the dressed-alpha monitor clock.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/gamma_mon_halfwidth_refutation.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/gamma_mon_route_audit.py,gamma_mon_route_audit.py,Audit candidate derivations for the dressed-alpha monitoring clock gamma_mon.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/gamma_mon_route_audit.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/gamma_tee_audit.py,gamma_tee_audit.py,gamma_tee_audit.py ================== Reproducibility artifact for the topological-entanglement-entropy (gamma_TEE) audit of the macroscopic 2D-projection stabilizer lattice (TQO programme; ANCHOR 2D-projection / Kitaev-honeycomb topologica,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/gamma_tee_audit.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/handoff_action_derivation.py,handoff_action_derivation.py,"MULTI-MODE HANDOFF ACTION — derivation result (R1), executing the frozen pre-registration.",PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/handoff_action_derivation.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/handoff_action_prereg.py,handoff_action_prereg.py,"MULTI-MODE HANDOFF SERVICE ACTION — PRE-REGISTRATION (R1, the A_req conversion theorem).",PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/handoff_action_prereg.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/hbc_amplitude_status.py,hbc_amplitude_status.py,"R_HBC / HBC scalar amplitude — STATUS CHECK (R1), before any fresh pre-registration.",PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/hbc_amplitude_status.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/item057_28clock_density_ledger.py,item057_28clock_density_ledger.py,ITEM 57: 28-clock early dark-energy density ledger.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/item057_28clock_density_ledger.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/item057_no_extra_ledger_lift.py,item057_no_extra_ledger_lift.py,ITEM 57: homogeneous no-extra-channel lift for the 28-clock ledger.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/item057_no_extra_ledger_lift.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/item123_acoustic_clock_qnd_lapse_readout_audit.py,item123_acoustic_clock_qnd_lapse_readout_audit.py,Item 123 / M15: CMB acoustic clock as QND service-lapse readout.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/item123_acoustic_clock_qnd_lapse_readout_audit.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/item123_acoustic_readout_map_derivation_attempt.py,item123_acoustic_readout_map_derivation_attempt.py,Item 123 / M15: attempt to derive the acoustic readout map.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/item123_acoustic_readout_map_derivation_attempt.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/item123_acoustic_scale_likelihood_mcmc.py,item123_acoustic_scale_likelihood_mcmc.py,ITEM 123 / M15: compressed acoustic-scale likelihood and MCMC.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/item123_acoustic_scale_likelihood_mcmc.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/item123_acoustic_sector_coupling_theorem.py,item123_acoustic_sector_coupling_theorem.py,Item 123 / M15: CMB acoustic sector-coupling theorem audit.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/item123_acoustic_sector_coupling_theorem.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/item123_boot_residual_fault_theorem.py,item123_boot_residual_fault_theorem.py,Item 123: boot-sequence residual-fault theorem attempt for rho_Lambda.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/item123_boot_residual_fault_theorem.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/item123_cmb_boltzmann_sweep.py,item123_cmb_boltzmann_sweep.py,ITEM 123: external CAMB check of the CMB pressureless-slot target.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/item123_cmb_boltzmann_sweep.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/item123_cmb_budget_check.py,item123_cmb_budget_check.py,item123_cmb_budget_check.py,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/item123_cmb_budget_check.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/item123_cmb_cold_matter_closure_status.py,item123_cmb_cold_matter_closure_status.py,ITEM 123: cold-matter / CMB third-peak closure status audit.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/item123_cmb_cold_matter_closure_status.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/item123_cmb_completion.py,item123_cmb_completion.py,Compatibility entry point for the Item 118/123 CMB completion audit.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/item123_cmb_completion.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/item123_cmb_lock_attempt.py,item123_cmb_lock_attempt.py,ITEM 123 / M15: attempted full CMB lock.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/item123_cmb_lock_attempt.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/item123_cmb_native_spectrum_lift.py,item123_cmb_native_spectrum_lift.py,Item 123 / M15: acoustic-clock theorem lifted to a native Boltzmann spectrum.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/item123_cmb_native_spectrum_lift.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/item123_cmb_stinespring_completion_gate.py,item123_cmb_stinespring_completion_gate.py,ITEM 123: CMB completion after the R4 Stinespring/Fock lift.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/item123_cmb_stinespring_completion_gate.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/item123_cmb_zeq_aest_target.py,item123_cmb_zeq_aest_target.py,ITEM 123: CMB completion made QUANTITATIVE — the matter-radiation-equality kill-shot and the AeST-class structural target.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/item123_cmb_zeq_aest_target.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/item123_cmb_zero_mode_theorem.py,item123_cmb_zero_mode_theorem.py,ITEM 123: CMB pressureless R4 zero-mode theorem gate.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/item123_cmb_zero_mode_theorem.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/item123_external_cmb_lensing_nonlinear_gate.py,item123_external_cmb_lensing_nonlinear_gate.py,ITEM 123 / M15: external CMB spectra + nonlinear structure gate.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/item123_external_cmb_lensing_nonlinear_gate.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/item123_lambda_audit.py,item123_lambda_audit.py,"§16.3 + structural audit of the cosmological-constant row (ANCHOR §15 item 123 / 118 / §10.7). Headline: rho_Lambda = (3/4) alpha Lambda^4 a_0 / (4 pi L_H) ~ 2.4e-47 GeV^4, ""~4%"" vs observed ~2.5e-47, billed as resolving the 10^121 cosmolog",PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/item123_lambda_audit.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/item123_nuR_absolute_density_boot_qec.py,item123_nuR_absolute_density_boot_qec.py,ITEM 123: absolute nu_R / total dark density from a boot-QEC source law.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/item123_nuR_absolute_density_boot_qec.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/item123_omega_dark_absolute_chain.py,item123_omega_dark_absolute_chain.py,ITEM 123: the absolute Omega_dark h^2 chain -- is the CMB cold-dust gap closed?,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/item123_omega_dark_absolute_chain.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/item123_pressureless_slot_search.py,item123_pressureless_slot_search.py,ITEM 123: search for the missing pressureless CMB component.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/item123_pressureless_slot_search.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/item123_r4_conserved_charge_test.py,item123_r4_conserved_charge_test.py,item123_r4_conserved_charge_test.py,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/item123_r4_conserved_charge_test.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/item123_r4_noether_charge_attempt.py,item123_r4_noether_charge_attempt.py,ITEM 123: attempt a CONSERVED COMOVING CHARGE for the R4 boundary-QEC ledger (a Noether current of W=S*C) — the keystone that would turn the CMB no-go (item123_cmb_zeq_aest_target.py) into a completion.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/item123_r4_noether_charge_attempt.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/item123_r4_service_phase_dust_no_go.py,item123_r4_service_phase_dust_no_go.py,ITEM 123: can the R4 Stinespring service ledger itself be a dust shift-charge?,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/item123_r4_service_phase_dust_no_go.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/item123_r4_zero_mode_abundance_ratio.py,item123_r4_zero_mode_abundance_ratio.py,ITEM 123: R4 zero-mode abundance ratio from finite support incidence.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/item123_r4_zero_mode_abundance_ratio.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/item123_r4_zero_mode_dust_hamiltonian.py,item123_r4_zero_mode_dust_hamiltonian.py,ITEM 123: Brown--Kuchar dust Hamiltonian for the R4 zero-mode reservoir.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/item123_r4_zero_mode_dust_hamiltonian.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/item123_r4_zero_mode_reservoir_lift.py,item123_r4_zero_mode_reservoir_lift.py,ITEM 123: conserved-reservoir lift of the R4 active Poisson ledger.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/item123_r4_zero_mode_reservoir_lift.py,yes
cosmology_dark_energy_inflation,scripts/cosmology_dark_energy_inflation/item123_sterile_generation_singlet_source.py,item123_sterile_generation_singlet_source.py,ITEM 123: sterile source release is one generation-singlet port.,PYTHONPATH=scripts/cosmology_dark_energy_inflation:$PYTHONPATH python scripts/cosmology_dark_energy_inflation/item123_sterile_generation_singlet_source.py,yes
